,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
0,997.75,1005.0,960.53,966.34,2017-01-01T23:59:46.0000000Z,2017-01-01T00:01:08.0000000Z,2017-01-02T00:00:00.0000000Z,2017-01-01T00:00:00.0000000Z,5423,6850.59330859,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
1,1012.54,1032.0,990.01,997.75,2017-01-02T23:59:37.0000000Z,2017-01-02T00:00:05.0000000Z,2017-01-03T00:00:00.0000000Z,2017-01-02T00:00:00.0000000Z,7815,8167.38103018,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
2,1035.24,1039.0,999.99,1011.44,2017-01-03T23:59:32.0000000Z,2017-01-03T00:00:07.0000000Z,2017-01-04T00:00:00.0000000Z,2017-01-03T00:00:00.0000000Z,7871,9089.65802529,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
3,1114.92,1139.89,1028.56,1035.51,2017-01-04T23:59:47.0000000Z,2017-01-04T00:00:03.0000000Z,2017-01-05T00:00:00.0000000Z,2017-01-04T00:00:00.0000000Z,15968,21562.45697196,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
4,1004.74,1136.72,885.41,1114.38,2017-01-05T23:59:54.0000000Z,2017-01-05T00:00:00.0000000Z,2017-01-06T00:00:00.0000000Z,2017-01-05T00:00:00.0000000Z,22504,36018.53598384,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
5,893.89,1026.99,871.0,1004.73,2017-01-06T23:59:49.0000000Z,2017-01-06T00:00:13.0000000Z,2017-01-07T00:00:00.0000000Z,2017-01-06T00:00:00.0000000Z,18044,27916.70309893,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
6,906.2,907.05,812.28,894.02,2017-01-07T23:59:55.0000000Z,2017-01-07T00:00:00.0000000Z,2017-01-08T00:00:00.0000000Z,2017-01-07T00:00:00.0000000Z,11474,20401.11359103,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
7,909.75,941.81,881.3,906.2,2017-01-08T23:59:54.0000000Z,2017-01-08T00:00:34.0000000Z,2017-01-09T00:00:00.0000000Z,2017-01-08T00:00:00.0000000Z,6709,8937.49270783,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
8,896.23,912.87,875.0,909.8,2017-01-09T23:59:44.0000000Z,2017-01-09T00:00:10.0000000Z,2017-01-10T00:00:00.0000000Z,2017-01-09T00:00:00.0000000Z,5333,8716.18294096,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
9,905.05,912.47,889.41,896.09,2017-01-10T23:59:59.0000000Z,2017-01-10T00:00:19.0000000Z,2017-01-11T00:00:00.0000000Z,2017-01-10T00:00:00.0000000Z,5378,8535.45350061,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
10,778.62,918.4,755.0,905.24,2017-01-11T23:59:24.0000000Z,2017-01-11T00:00:20.0000000Z,2017-01-12T00:00:00.0000000Z,2017-01-11T00:00:00.0000000Z,23144,35893.76836795,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
11,807.47,832.99,751.34,778.7,2017-01-12T23:59:25.0000000Z,2017-01-12T00:00:41.0000000Z,2017-01-13T00:00:00.0000000Z,2017-01-12T00:00:00.0000000Z,14636,17400.14155465,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
12,825.86,831.4,775.0,807.51,2017-01-13T23:59:55.0000000Z,2017-01-13T00:00:12.0000000Z,2017-01-14T00:00:00.0000000Z,2017-01-13T00:00:00.0000000Z,13108,11409.52033002,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
13,818.27,837.76,810.0,825.98,2017-01-14T23:59:07.0000000Z,2017-01-14T00:00:19.0000000Z,2017-01-15T00:00:00.0000000Z,2017-01-14T00:00:00.0000000Z,4605,6614.71899162,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
14,821.86,823.45,808.0,819.52,2017-01-15T23:59:49.0000000Z,2017-01-15T00:00:00.0000000Z,2017-01-16T00:00:00.0000000Z,2017-01-15T00:00:00.0000000Z,5265,4231.46390349,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
15,831.81,835.0,818.09,821.86,2017-01-16T23:59:35.0000000Z,2017-01-16T00:00:13.0000000Z,2017-01-17T00:00:00.0000000Z,2017-01-16T00:00:00.0000000Z,5367,6166.04397741,ohlcv,BITSTAMP_SPOT_BTC_USD,1DAY,2017-01-01T00:00:00,100000
