,data_end,data_orderbook_end,data_orderbook_start,data_quote_end,data_quote_start,data_start,data_symbols_count,data_trade_count,data_trade_end,data_trade_start,exchange_id,name,website
19,2018-04-01,2018-04-01T03:54:47.6987127Z,2017-03-14T20:03:49.1491232Z,2018-04-01T00:58:36.1757601Z,2017-03-14T20:03:49.1491232Z,2014-12-19,2006,60132993.0,2018-04-01T00:49:20.0000000Z,2014-12-19T15:12:05.0000000Z,CRYPTOPIA,Cryptopia,https://www.cryptopia.co.nz/
20,2018-04-01,2018-04-01T00:12:35.2816620Z,2017-03-14T20:03:20.5307029Z,2018-04-01T00:13:06.3949999Z,2017-03-14T20:03:20.5307029Z,2017-03-14,1,59142974.0,2017-12-18T10:58:56.0000000Z,2017-03-14T20:04:46.0000000Z,COINCHECK,coincheck,https://coincheck.com/
21,2018-04-01,2018-04-01T01:57:27.9887787Z,2017-09-21T13:45:51.3610312Z,2018-04-01T01:57:53.8129771Z,2017-09-21T13:45:51.3610312Z,2016-09-08,226,49197638.0,2018-04-01T01:57:00.0000000Z,2016-09-08T12:23:19.0000000Z,LIQUI,Liqui,https://liqui.io/
22,2018-04-01,2018-04-01T04:36:57.6212585Z,2017-12-18T21:01:51.6121385Z,2018-04-01T04:36:57.6212585Z,2017-12-18T21:01:51.6121385Z,2017-12-01,462,46372866.0,2018-04-01T04:33:13.0000000Z,2017-12-01T15:26:32.0000000Z,OKEX,OKEx,https://www.okex.com/
23,2018-04-01,2018-04-01T01:18:01.7574544Z,2017-03-14T20:04:15.0007802Z,2018-04-01T01:18:24.7883102Z,2017-03-14T20:04:15.0007802Z,2016-02-17,46,43387395.0,2018-04-01T01:18:12.0000000Z,2016-02-17T16:38:11.0000000Z,EXMO,EXMO,https://exmo.com/
24,2018-04-01,2018-04-01T00:11:57.2657704Z,2015-05-18T00:17:30.9400000Z,2018-03-31T00:22:20.6056834Z,2015-05-19T14:31:56.5100000Z,2015-05-18,2,38044915.0,2018-03-09T22:02:59.0000000Z,2015-05-18T00:17:33.0000000Z,CHBTC,CHBTC,https://www.chbtc.com/
25,2018-04-01,2018-04-01T04:35:38.7702542Z,2017-03-18T22:53:47.5257032Z,2018-04-01T04:34:30.5635262Z,2017-03-18T22:53:47.5257032Z,2015-01-06,3513,19267225.0,2018-04-01T04:23:19.0000000Z,2015-01-06T19:51:51.0000000Z,YOBIT,YObit,https://yobit.net/en/
26,2018-03-31,2018-03-31T23:17:54.2551012Z,2017-11-29T01:10:28.2891461Z,2018-03-31T23:18:11.8888436Z,2017-11-29T01:10:28.2891461Z,2017-11-28,3,17000317.0,2018-03-31T23:18:01.0000000Z,2017-11-28T21:25:01.0000000Z,BITFLYER,bitFlyer,https://bitflyer.jp/
27,2018-04-01,2018-04-01T04:37:01.0355127Z,2017-12-28T21:48:26.7161574Z,2018-04-01T04:36:54.1056918Z,2017-12-28T21:48:26.7161574Z,2017-12-14,15,14870147.0,2018-04-01T04:36:16.0000000Z,2017-12-14T05:11:55.0000000Z,ZAIF,Zaif,https://zaif.jp/
28,2018-04-01,2018-04-01T01:44:33.8656694Z,2017-03-18T22:53:39.4192811Z,2018-04-01T01:45:16.6787955Z,2017-03-18T22:53:39.4192811Z,2013-09-03,4,14159979.0,2018-04-01T01:44:59.1450000Z,2013-09-03T06:31:37.0000000Z,KORBIT,Korbit,https://www.korbit.co.kr
29,2018-04-01,2018-04-01T01:44:39.6224148Z,2017-03-18T22:53:36.0065489Z,2018-03-31T00:35:40.7014824Z,2017-03-18T22:53:36.0065489Z,2014-12-31,25,11700374.0,2017-09-07T12:19:20.0000000Z,2014-12-31T12:12:00.0000000Z,JUBI,Jubi,https://www.jubi.com
30,2018-04-01,2018-04-01T04:36:32.2223157Z,2017-12-28T21:49:04.6063124Z,2018-04-01T04:38:02.7932723Z,2017-12-28T21:49:04.6063124Z,2017-12-28,267,11116682.0,2018-04-01T04:25:07.0000000Z,2017-12-28T17:33:30.0000000Z,GATEIO,Gate.io,https://gate.io/
31,2018-03-31,2018-03-31T23:21:13.0992151Z,2017-03-14T20:04:08.1113853Z,2018-03-31T23:22:13.7251580Z,2017-03-14T20:04:08.1113853Z,2015-09-25,57,10855558.0,2018-03-31T23:22:19.0000000Z,2015-09-25T12:34:25.0000000Z,BITMEX,BitMEX,https://www.bitmex.com/
32,2018-01-09,2018-01-09T06:32:05.4469390Z,2017-03-18T22:53:45.3558927Z,2018-01-09T00:02:43.5604799Z,2017-03-18T22:53:45.3558927Z,2017-03-16,50,10737203.0,2017-10-31T03:58:21.0000000Z,2017-03-16T13:30:42.0000000Z,BTC38,BTC38,http://www.btc38.com
33,2014-02-25,,,,,2010-07-17,15,10050212.0,2014-02-25T01:59:06.0000000Z,2010-07-17T23:09:17.0000000Z,MTGOX,mtgox,https://www.mtgox.com/
34,2018-04-01,2018-04-01T02:36:05.6863959Z,2017-12-24T13:03:42.9064646Z,2018-04-01T02:36:59.3400937Z,2017-12-24T13:03:42.9064646Z,2017-12-24,41,9099202.0,2018-04-01T02:36:25.0000000Z,2017-12-24T06:47:19.0000000Z,WEXNZ,WexNz,https://wex.nz/
35,2018-04-01,2018-04-01T01:53:29.3707751Z,2017-03-18T22:53:40.7300076Z,2018-04-01T01:53:39.1170863Z,2017-03-18T22:53:40.7300076Z,2014-03-01,10,8318865.0,2017-09-07T12:18:53.0000000Z,2014-03-01T12:01:39.0000000Z,LAKEBTC,LakeBTC,https://www.lakebtc.com/
36,2018-04-01,2018-04-01T01:52:01.1150000Z,2018-01-24T00:22:08.7776711Z,2018-04-01T01:53:15.3200000Z,2018-01-24T00:22:08.7776711Z,2018-01-24,275,8129362.0,2018-04-01T01:51:17.0000000Z,2018-01-24T15:12:15.0000000Z,KUCOIN,Kucoin,https://kucoin.com/
37,2018-03-31,2018-03-31T23:38:27.5136912Z,2017-03-14T20:04:25.7449674Z,2018-03-31T23:38:26.1781118Z,2017-03-14T20:04:25.7449674Z,2017-02-16,204,7658411.0,2018-03-31T23:32:00.0000000Z,2017-02-16T20:09:59.0000000Z,BLEUTRADE,Bleutrade,https://bleutrade.com
38,2018-03-31,2018-03-31T23:15:14.8831164Z,2018-01-05T15:56:05.6259966Z,2018-03-31T23:14:57.6807053Z,2018-01-05T15:56:05.6259966Z,2018-01-05,17,6036182.0,2018-03-31T23:14:41.0000000Z,2018-01-05T15:51:29.0000000Z,BITCOINID,Indodax,https://indodax.com/
39,2018-04-01,2018-04-01T02:23:04.6356810Z,2017-08-29T15:53:54.7372595Z,2018-04-01T02:22:42.4179144Z,2017-08-29T15:53:54.7372595Z,2017-05-22,103,5779897.0,2018-04-01T02:22:59.0000000Z,2017-05-22T18:21:41.0000000Z,QUOINE,QRYPTOS,https://www.qryptos.com/
40,2018-03-31,2018-03-31T23:08:59.5674482Z,2017-09-21T13:50:21.9301963Z,2018-03-31T23:09:04.6256468Z,2017-09-21T13:50:21.9301963Z,2017-09-13,12,4988918.0,2018-03-31T23:09:10.0000000Z,2017-09-13T10:58:32.0000000Z,ACX,ACX,https://acx.io/
41,2018-03-31,2018-03-31T23:22:58.2892049Z,2017-08-29T15:47:12.6045423Z,2018-03-31T23:23:00.7391542Z,2017-08-29T15:47:12.6045423Z,2017-08-29,8,4325744.0,2018-03-31T23:22:53.0000000Z,2017-08-29T03:39:38.0000000Z,BITSO,Bitso,https://bitso.com/
42,2018-04-01,2018-04-01T02:35:45.0746006Z,2017-12-28T21:49:03.2916366Z,2018-04-01T02:34:53.3791226Z,2017-12-28T21:49:03.2916366Z,2017-02-15,220,4160396.0,2018-04-01T02:34:04.0000000Z,2017-02-15T11:28:37.0000000Z,TIDEX,Tidex,https://tidex.com/
