,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
0,3365.0,4199.5,3275.5,3900.0,2017-09-14T23:56:21.0000000Z,2017-09-14T08:38:01.0000000Z,2017-09-15T00:00:00.0000000Z,2017-09-14T00:00:00.0000000Z,2184,13215234.0,ohlcv,BITMEX_FTS_BTC_USD_171229,1DAY,2016-01-01T00:00:00,100000
1,3714.8,3845.0,3010.0,3365.0,2017-09-15T23:58:50.0000000Z,2017-09-15T00:00:58.0000000Z,2017-09-16T00:00:00.0000000Z,2017-09-15T00:00:00.0000000Z,11176,25759884.0,ohlcv,BITMEX_FTS_BTC_USD_171229,1DAY,2016-01-01T00:00:00,100000
2,3683.9,3915.0,3455.0,3695.0,2017-09-16T23:59:58.0000000Z,2017-09-16T00:03:04.0000000Z,2017-09-17T00:00:00.0000000Z,2017-09-16T00:00:00.0000000Z,10966,11088964.0,ohlcv,BITMEX_FTS_BTC_USD_171229,1DAY,2016-01-01T00:00:00,100000
3,3717.5,3824.0,3491.3,3683.2,2017-09-17T23:57:21.0000000Z,2017-09-17T00:00:05.0000000Z,2017-09-18T00:00:00.0000000Z,2017-09-17T00:00:00.0000000Z,9062,8333822.0,ohlcv,BITMEX_FTS_BTC_USD_171229,1DAY,2016-01-01T00:00:00,100000
4,4121.4,4179.5,3718.2,3719.6,2017-09-18T23:59:58.0000000Z,2017-09-18T00:00:07.0000000Z,2017-09-19T00:00:00.0000000Z,2017-09-18T00:00:00.0000000Z,9433,12248267.0,ohlcv,BITMEX_FTS_BTC_USD_171229,1DAY,2016-01-01T00:00:00,100000
5,3900.1,4138.0,3845.0,4122.0,2017-09-19T23:59:54.0000000Z,2017-09-19T00:00:02.0000000Z,2017-09-20T00:00:00.0000000Z,2017-09-19T00:00:00.0000000Z,8032,8983438.0,ohlcv,BITMEX_FTS_BTC_USD_171229,1DAY,2016-01-01T00:00:00,100000
6,3867.7,4070.0,3816.7,3905.0,2017-09-20T23:59:56.0000000Z,2017-09-20T00:01:48.0000000Z,2017-09-21T00:00:00.0000000Z,2017-09-20T00:00:00.0000000Z,7548,9869123.0,ohlcv,BITMEX_FTS_BTC_USD_171229,1DAY,2016-01-01T00:00:00,100000
7,3600.9,3910.0,3495.8,3867.7,2017-09-21T23:59:18.0000000Z,2017-09-21T00:00:02.0000000Z,2017-09-22T00:00:00.0000000Z,2017-09-21T00:00:00.0000000Z,11428,11224491.0,ohlcv,BITMEX_FTS_BTC_USD_171229,1DAY,2016-01-01T00:00:00,100000
8,3591.9,3746.4,3500.0,3601.2,2017-09-22T23:59:07.0000000Z,2017-09-22T00:01:57.0000000Z,2017-09-23T00:00:00.0000000Z,2017-09-22T00:00:00.0000000Z,11557,12299590.0,ohlcv,BITMEX_FTS_BTC_USD_171229,1DAY,2016-01-01T00:00:00,100000
9,3782.1,3810.0,3530.5,3590.1,2017-09-23T23:59:52.0000000Z,2017-09-23T00:05:34.0000000Z,2017-09-24T00:00:00.0000000Z,2017-09-23T00:00:00.0000000Z,7168,7545419.0,ohlcv,BITMEX_FTS_BTC_USD_171229,1DAY,2016-01-01T00:00:00,100000
