,price_close,price_open,price_high,price_low,time_close,time_open,trades_count,volume_traded,request_type,symbol_id,time_start,time_end,granularity
0,8516.86,8235.6,8600.0,8172.0,2018-05-19T20:00:00,2018-05-19T20:00:00,,4480.150300520312,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
1,8235.6,8238.51,8390.0,8152.54,2018-05-18T20:00:00,2018-05-18T20:00:00,,4198.420450850152,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
2,8238.51,8059.0,8280.0,7927.21,2018-05-17T20:00:00,2018-05-17T20:00:00,,8239.27361340075,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
3,8059.0,8344.01,8483.48,8001.0,2018-05-16T20:00:00,2018-05-16T20:00:00,,8477.105967880714,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
4,8344.0,8477.47,8500.0,8103.33,2018-05-15T20:00:00,2018-05-15T20:00:00,,10858.39139052121,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
5,8477.46,8670.0,8847.0,8420.45,2018-05-14T20:00:00,2018-05-14T20:00:00,,10892.265349231413,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
6,8670.0,8686.1,8880.01,8289.79,2018-05-13T20:00:00,2018-05-13T20:00:00,,14127.77598129143,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
7,8686.1,8474.31,8774.32,8345.0,2018-05-12T20:00:00,2018-05-12T20:00:00,,6678.594311950731,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
8,8475.0,8403.33,8658.57,8223.43,2018-05-11T20:00:00,2018-05-11T20:00:00,,11392.07313431128,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
9,8403.33,9010.51,9010.51,8351.0,2018-05-10T20:00:00,2018-05-10T20:00:00,,17511.826169141426,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
10,9010.51,9300.08,9386.32,9001.01,2018-05-09T20:00:00,2018-05-09T20:00:00,,7596.4051230605855,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
11,9300.08,9177.81,9370.0,8960.0,2018-05-08T20:00:00,2018-05-08T20:00:00,,8627.683913380677,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
12,9177.81,9356.25,9463.13,9050.0,2018-05-07T20:00:00,2018-05-07T20:00:00,,9561.303565100914,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
13,9356.25,9600.0,9619.55,9162.85,2018-05-06T20:00:00,2018-05-06T20:00:00,,9823.341817621138,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
14,9600.0,9799.99,9880.0,9390.0,2018-05-05T20:00:00,2018-05-05T20:00:00,,7592.051752250695,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
15,9800.0,9685.0,9948.12,9660.28,2018-05-04T20:00:00,2018-05-04T20:00:00,,9390.688571301336,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
16,9685.0,9725.74,9745.0,9451.5,2018-05-03T20:00:00,2018-05-03T20:00:00,,10837.79678583136,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
17,9725.74,9190.47,9800.0,9131.0,2018-05-02T20:00:00,2018-05-02T20:00:00,,14956.001209321961,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
18,9190.48,9072.29,9251.05,8990.0,2018-05-01T20:00:00,2018-05-01T20:00:00,,8818.065521590823,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
19,9072.29,9243.83,9245.37,8831.21,2018-04-30T20:00:00,2018-04-30T20:00:00,,11372.35045084127,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
20,9243.82,9389.01,9447.0,9110.88,2018-04-29T20:00:00,2018-04-29T20:00:00,,8862.185301090862,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
21,9389.01,9329.99,9512.5,9179.99,2018-04-28T20:00:00,2018-04-28T20:00:00,,7936.988122280809,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
22,9329.99,8922.56,9447.0,8863.42,2018-04-27T20:00:00,2018-04-27T20:00:00,,8849.351945450726,products,BTC-USD,2017-08-29T00:00:00,2018-05-21T00:00:00,86400
