,price_close,price_open,price_high,price_low,time_close,time_open,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
0,367.35,360.99,370.03,360.53,2017-08-29T14:00:00.0000000Z,2017-08-29T13:00:00.0000000Z,780,8029.41149908,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1,364.19,367.36,367.36,362.76,2017-08-29T15:00:00.0000000Z,2017-08-29T14:00:00.0000000Z,706,9545.48295747,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
2,366.68,364.19,366.84,364.17,2017-08-29T16:00:00.0000000Z,2017-08-29T15:00:00.0000000Z,606,5775.87615212,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
3,370.92,366.5,371.0,366.0,2017-08-29T17:00:00.0000000Z,2017-08-29T16:00:00.0000000Z,479,5106.57028985,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
4,372.71,370.84,373.9,369.08,2017-08-29T18:00:00.0000000Z,2017-08-29T17:00:00.0000000Z,781,8886.58462902,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
5,368.96,372.7,372.7,368.16,2017-08-29T19:00:00.0000000Z,2017-08-29T18:00:00.0000000Z,609,5076.82044572,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
6,369.56,368.91,369.59,360.0,2017-08-29T20:00:00.0000000Z,2017-08-29T19:00:00.0000000Z,563,6715.36203269,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
7,371.0,369.56,371.48,369.55,2017-08-29T21:00:00.0000000Z,2017-08-29T20:00:00.0000000Z,780,8416.36584992,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
8,374.0,371.0,374.35,370.99,2017-08-29T22:00:00.0000000Z,2017-08-29T21:00:00.0000000Z,854,6185.76109394,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
9,373.98,373.99,374.0,372.42,2017-08-29T23:00:00.0000000Z,2017-08-29T22:00:00.0000000Z,705,6036.15331129,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
10,372.02,373.98,374.0,371.2,2017-08-30T00:00:00.0000000Z,2017-08-29T23:00:00.0000000Z,484,4595.40013024,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
11,370.6,371.5,371.5,368.33,2017-08-30T01:00:00.0000000Z,2017-08-30T00:00:00.0000000Z,642,5569.79847971,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
12,373.27,370.6,373.87,369.49,2017-08-30T02:00:00.0000000Z,2017-08-30T01:00:00.0000000Z,669,6613.42568642,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
13,373.46,373.31,373.96,373.05,2017-08-30T03:00:00.0000000Z,2017-08-30T02:00:00.0000000Z,376,4546.14728594,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
14,374.72,373.47,374.73,370.0,2017-08-30T04:00:00.0000000Z,2017-08-30T03:00:00.0000000Z,473,6174.80721993,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
15,379.83,374.72,379.83,374.72,2017-08-30T05:00:00.0000000Z,2017-08-30T04:00:00.0000000Z,940,6966.00063101,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
