,price_close,price_open,price_high,price_low,time_close,time_open,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
0,18856.25,18493.04,18900.0,18465.39,2017-12-19T00:00:00.0000000Z,2017-12-18T00:00:00.0000000Z,7229,704.46053,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
1,17295.2,18856.25,18950.0,16300.0,2017-12-20T00:00:00.0000000Z,2017-12-19T00:00:00.0000000Z,116208,13167.116874,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
2,16488.98,17295.2,17720.35,14800.0,2017-12-21T00:00:00.0000000Z,2017-12-20T00:00:00.0000000Z,125183,13008.77985,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
3,15492.64,16480.52,17309.5,14100.0,2017-12-22T00:00:00.0000000Z,2017-12-21T00:00:00.0000000Z,115327,19897.862912,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
4,13326.61,15514.03,15699.34,11111.51,2017-12-23T00:00:00.0000000Z,2017-12-22T00:00:00.0000000Z,224659,33064.896519,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
5,13300.0,13326.61,14950.0,12978.18,2017-12-24T00:00:00.0000000Z,2017-12-23T00:00:00.0000000Z,131177,12808.525912,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
6,13500.0,13300.0,13819.99,11798.8,2017-12-25T00:00:00.0000000Z,2017-12-24T00:00:00.0000000Z,164401,27079.449803,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
7,13699.34,13500.0,14300.0,12708.0,2017-12-26T00:00:00.0000000Z,2017-12-25T00:00:00.0000000Z,115415,15607.598265,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
8,15689.01,13699.34,16050.0,13533.0,2017-12-27T00:00:00.0000000Z,2017-12-26T00:00:00.0000000Z,131560,14845.640226,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
9,15459.99,15709.98,16498.05,14200.15,2017-12-28T00:00:00.0000000Z,2017-12-27T00:00:00.0000000Z,142041,14936.933071,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
10,14182.11,15459.97,15539.99,13150.0,2017-12-29T00:00:00.0000000Z,2017-12-28T00:00:00.0000000Z,177125,21608.988853,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
11,14378.9,14199.14,14981.0,13850.0,2017-12-30T00:00:00.0000000Z,2017-12-29T00:00:00.0000000Z,142100,18072.008116,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
12,12440.01,14378.99,14398.85,11750.0,2017-12-31T00:00:00.0000000Z,2017-12-30T00:00:00.0000000Z,190204,19221.158039,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
13,13716.36,12345.1,14050.11,12149.98,2018-01-01T00:00:00.0000000Z,2017-12-31T00:00:00.0000000Z,138893,11768.989718,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
14,13380.0,13715.65,13818.55,12750.0,2018-01-02T00:00:00.0000000Z,2018-01-01T00:00:00.0000000Z,105595,8609.915844,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
15,14675.11,13382.16,15473.49,12890.02,2018-01-03T00:00:00.0000000Z,2018-01-02T00:00:00.0000000Z,177728,20078.092111,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
16,14919.51,14690.0,15307.56,14150.0,2018-01-04T00:00:00.0000000Z,2018-01-03T00:00:00.0000000Z,162787,15905.667639,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
17,14752.02,14919.51,15280.0,13918.04,2018-01-05T00:00:00.0000000Z,2018-01-04T00:00:00.0000000Z,149044,18524.621764,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
18,16970.03,14901.82,17093.72,14880.05,2018-01-06T00:00:00.0000000Z,2018-01-05T00:00:00.0000000Z,1303,147.043078,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
19,17080.05,16790.99,17105.51,16790.01,2018-01-07T00:00:00.0000000Z,2018-01-06T00:00:00.0000000Z,236,29.526771,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
20,16305.01,16273.76,16320.0,16273.76,2018-01-08T00:00:00.0000000Z,2018-01-07T00:00:00.0000000Z,75,4.377976,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
21,14520.0,15075.76,15150.0,14318.16,2018-01-10T00:00:00.0000000Z,2018-01-09T00:00:00.0000000Z,2396,210.128678,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
22,14493.28,14200.08,14659.77,13701.03,2018-01-11T00:00:00.0000000Z,2018-01-10T00:00:00.0000000Z,2533,303.594591,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
23,12996.12,14940.0,14949.98,12851.81,2018-01-12T00:00:00.0000000Z,2018-01-11T00:00:00.0000000Z,1411,245.520951,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
24,13701.54,12807.57,14005.0,12780.18,2018-01-13T00:00:00.0000000Z,2018-01-12T00:00:00.0000000Z,5572,649.024348,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
25,14210.0,13749.95,14580.0,13706.2,2018-01-14T00:00:00.0000000Z,2018-01-13T00:00:00.0000000Z,96635,9546.443807,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
26,13474.99,14210.0,14339.5,12569.2,2018-01-15T00:00:00.0000000Z,2018-01-14T00:00:00.0000000Z,127355,14243.278708,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
27,13539.93,13477.98,14249.99,13147.79,2018-01-16T00:00:00.0000000Z,2018-01-15T00:00:00.0000000Z,144082,14537.193724,ohlcv,BINANCE_SPOT_BTC_USDT,1DAY,2015-08-29T00:00:00,100000
